link_URL,adjective_score,important_phrase,Date,District,Category,color
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.5,Contacts also indicated that oil and gas inventories remained elevated despite increased demand,201705,Atlanta,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.6153846153846154,"District firms continued to report difficulties filling a range of positions, and wage growth remained steady",201705,Atlanta,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.14285714285714285,"In response to labor shortages and rising turnover, a growing number of firms indicated that they were directing resources towards creating internal training and development programs for both new hires and existing staff, covering technical education as well as company culture and soft skills",201705,Atlanta,"Employment, Prices, Wages",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,-0.25,Lenders increased oversight of construction loans and were growing more cautious in multi-family lending,201705,Atlanta,Finance,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.8571428571428571,"Rail activity, including intermodal, remained relatively flat",201705,Atlanta,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.7777777777777778,Most builders expect construction activity to hold steady at the current pace or increase slightly over the next three months,201705,Atlanta,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-at,0.125,Sentiment among tourism and hospitality contacts across the District remains cautiously optimistic,201705,Atlanta,"Retail, Consumer Spending",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-bo,0.6428571428571429,"Labor markets remained tight, and employers said wage increases were modest to moderate",201705,Boston,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-bo,0.76,Price changes remained modest,201705,Boston,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-bo,-0.08333333333333333,The outlook was generally positive but cautious,201705,Boston,"Manufacturing, Services",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-bo,0.5,"In greater Hartford, office leasing remained subdued as foot traffic slowed further",201705,Boston,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-bo,-0.8,Retail contacts consulted in mid-May reported that year-over-year comparable-store sales ranged from low-single-digit declines to low-single-digit gains,201705,Boston,"Retail, Consumer Spending",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.6,Michigan fruit growers faced increased uncertainty after a major freeze potentially damaged their plants,201705,Chicago,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.6666666666666666,Prices rose modestly,201705,Chicago,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.46153846153846156,Prices again rose modestly overall in April and early May,201705,Chicago,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.5555555555555556,Auto loan demand declined slightly,201705,Chicago,Finance,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.6,Shipping volumes increased slightly,201705,Chicago,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,0.5,"Demand for nonresidential construction increased slightly, with improvements concentrated in the industrial sector",201705,Chicago,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-ch,-0.5,Consumer spending decreased slightly overall in April and early May,201705,Chicago,"Retail, Consumer Spending",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,0.7,"Manufacturing activity grew slightly, with a marked improvement for heavy equipment producers",201705,Cleveland,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,0.5384615384615384,Grocery store shelf prices declined slightly,201705,Cleveland,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,0.25,"Activity in mortgage lending expanded slightly, mainly for new purchases",201705,Cleveland,Finance,#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,0.5,"Freight volume expanded during the period, and this expansion was attributed to improving economic conditions",201705,Cleveland,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,0.36363636363636365,"Office vacancy rates declined, and asking rents increased, although both at a slow pace",201705,Cleveland,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-cl,-0.2,Auto dealers are concerned about higher-than-normal inventories and credit tightening for subprime buyers,201705,Cleveland,"Retail, Consumer Spending",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,1.6363636363636365,Moisture levels remained favorable across the district,201705,Dallas,"Agriculture, Energy, Natural Resources",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,1.0,"Housing demand grew, lending activity increased, and the energy sector saw further improvement",201705,Dallas,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,1.0833333333333333,"Overall employment rose moderately, and upward wage pressures were similar to the last report",201705,Dallas,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,1.1428571428571428,"Lenders reported higher net interest margins and non-interest income, improved loan performance, and a slight tightening of credit standards on C&I and CRE loans",201705,Dallas,Finance,#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,0.55,"Demand for nonfinancial services expanded moderately over the past six weeks, and outlooks remained fairly optimistic",201705,Dallas,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,0.0,"Apartment leasing activity in Houston was better than expected, and one contact noted that absorption (year to date through April) was slowly returning to a more normal pace",201705,Dallas,"Real Estate, Construction",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-da,0.5,"Retail sales rose at a slightly faster pace than the previous reporting period, and outlooks were positive",201705,Dallas,"Retail, Consumer Spending",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,0.45454545454545453,"District energy activity expanded modestly compared to the prior survey period, and expectations remained positive",201705,Kansas City,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,0.5294117647058824,"District energy activity also expanded modestly compared to the previous survey period, and bankers reported steady overall loan demand, stable deposit levels, and a slight decline loan quality",201705,Kansas City,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,0.8695652173913043,"Respondents in the retail sector reported modestly higher input and selling prices, with both expected to rise moderately moving forward",201705,Kansas City,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,0.4,"Wile most bankers reported stable demand for commercial real estate loans, a relatively higher proportion than other types indicated increasing demand",201705,Kansas City,Finance,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,1.2857142857142858,"Shipments, new orders, and order backlogs expanded slightly, and activity was modestly higher than a year ago",201705,Kansas City,"Manufacturing, Services",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,0.75,"Inventories in residential housing were moderately below year-ago levels, but expectations were for a modest increase in the months ahead",201705,Kansas City,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-kc,1.1428571428571428,Retail sales expanded slightly over the previous survey period and were moderately above year-ago levels,201705,Kansas City,"Retail, Consumer Spending",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2017-05-mi,0.42857142857142855,"However, growing conditions have improved",201705,Minneapolis,"Agriculture, Energy, Natural Resources",#92c5de
