,clusters,keywords
0,0,"['card', 'client', 'europe', 'loan', 'ccar', 'loans', 'merchants', 'lending', 'brexit', 'cards', 'rewards', 'firm', 'banking', 'volumes', 'revenues', 'incentives', 'billings', 'wasserstrom', 'equity', 'merchant']"
1,1,"['organic', 'china', 'stores', 'category', 'currency', 'price', 'brand', 'commerce', 'innovation', 'america', 'categories', 'productivity', 'electronics', 'store', 'dow', 'north', 'savings', 'basketball', 'care', 'inventory']"
2,2,"['relations', 'health', 'patients', 'care', 'upstream', 'espn', 'development', 'medical', 'christine', 'production', 'cancer', 'data', 'lng', 'wireless', 'portfolio', 'lung', 'train', 'launch', 'pd', 'yahoo']"
3,3,"['cloud', 'software', 'data', 'pc', 'services', 'security', 'enterprise', 'smith', 'center', 'gross', 'grew', 'server', 'inventory', 'annuity', 'cognitive', 'service', 'hybrid', 'cook', 'office', 'devices']"
4,4,"['orders', 'engines', 'smith', 'pratt', 'backlog', 'services', 'dewalt', 'equipment', 'profit', 'production', 'commercial', 'lynn', 'aftermarket', 'aircraft', 'organic', 'oil', 'gas', 'division', 'carter', 'engine']"
